scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Selasphorus sasin,Allen's Hummingbird,Allen's Hummingbird,Selasphorus sasin,Breeding endemic,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,4340,Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus sasin,yes,Allen's Hummingbird,Selasphorus sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus sasin,Allen's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes
Setophaga americana,Northern Parula,Northern Parula,Setophaga americana,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6480,Northern Parula,Passeriformes,Parulidae,Setophaga americana,yes,Northern Parula,Setophaga americana,eastern North America (southern Canada to southern USA); winters to Nicaragua and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Setophaga americana,Northern Parula,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes
Setophaga caerulescens,Black-throated Blue Warbler,Black-throated Blue Warbler,Setophaga caerulescens,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak,yes,6540,Black-throated Blue Warbler,Passeriformes,Parulidae,Setophaga caerulescens,yes,Black-throated Blue Warbler,Setophaga caerulescens,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga caerulescens,Black-throated Blue Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga castanea,Bay-breasted Warbler,Bay-breasted Warbler,Setophaga castanea,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,6600,Bay-breasted Warbler,Passeriformes,Parulidae,Setophaga castanea,yes,Bay-breasted Warbler,Setophaga castanea,Canada and northeastern USA; winters Panama and northwestern South America,Parulidae (New World Warblers),Passeriformes,yes,Setophaga castanea,Bay-breasted Warbler,CONUS & Canada,Passeriformes,Parulidae,11/11/2022,yes
Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,Setophaga cerulea,Near-threatened,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48,yes,6580,Cerulean Warbler,Passeriformes,Parulidae,Setophaga cerulea,yes,Cerulean Warbler,Setophaga cerulea,eastern North America; winters mountains of Colombia to Venezuela and southward in Andes to western Bolivia,Parulidae (New World Warblers),Passeriformes,yes,Setophaga cerulea,Cerulean Warbler,CONUS & Canada,Passeriformes,Parulidae,3/26/2019; checked 9/12/2022,yes
Setophaga chrysoparia,Golden-cheeked Warbler,Golden-cheeked Warbler,Setophaga chrysoparia,Breeding endemic Endangered,PASSERIFORMES,Parulidae,CAM; CAR; hol; NAM; nea; US48,yes,6660,Golden-cheeked Warbler,Passeriformes,Parulidae,Setophaga chrysoparia,yes,Golden-cheeked Warbler,Setophaga chrysoparia,Texas (Edwards Plateau); winters to Nicaragua,Parulidae (New World Warblers),Passeriformes,yes,Setophaga chrysoparia,Golden-cheeked Warbler,CONUS & Canada,Passeriformes,Parulidae,3/24/2023,yes
Setophaga citrina,Hooded Warbler,Hooded Warbler,Setophaga citrina,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; XX,yes,6840,Hooded Warbler,Passeriformes,Parulidae,Setophaga citrina,yes,Hooded Warbler,Setophaga citrina,eastern USA; winters Mexico to Panama,Parulidae (New World Warblers),Passeriformes,yes,Setophaga citrina,Hooded Warbler,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes
Setophaga coronata,Yellow-rumped Warbler; (unid. Myrtle/Audubon's) Yellow-rumped Warbler,Yellow-rumped Warbler,Setophaga coronata,NA,PASSERIFORMES,Parulidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,6556,(unid. Myrtle / Audubon's) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga coronata,yes,Yellow-rumped Warbler,Setophaga coronata,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga coronata,(unid. Myrtle/Audubon's) Yellow-rumped Warbler,CONUS & Canada,Passeriformes,Parulidae,3/26/2019; checked 9/19/2022,yes
Setophaga coronata auduboni,Yellow-rumped Warbler (Audubon's); (Audubon's Warbler) Yellow-rumped Warbler,NA,NA,NA,NA,NA,NA,no,6560,(Audubon's Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga coronata audoboni,yes,Yellow-rumped Warbler (Audubon's),Setophaga coronata auduboni,southwestern Canada and western USA; winters to western Honduras,Parulidae (New World Warblers),Passeriformes,yes,Setophaga coronata audoboni,(Audubon's Warbler) Yellow-rumped Warbler,CONUS & Canada,Passeriformes,Parulidae,3/26/2019; checked 9/19/2022,yes
Setophaga coronata coronata,Yellow-rumped Warbler (Myrtle); (Myrtle Warbler) Yellow-rumped Warbler,NA,NA,NA,NA,NA,NA,no,6550,(Myrtle Warbler) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga coronata coronata,yes,Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,"northern Alaska, Canada, and northern USA; winters to Panama and West Indies",Parulidae (New World Warblers),Passeriformes,yes,Setophaga coronata coronata,(Myrtle Warbler) Yellow-rumped Warbler,CONUS & Canada,Passeriformes,Parulidae,3/26/2019; checked 9/19/2022,yes
Setophaga discolor,Prairie Warbler,Prairie Warbler,Setophaga discolor,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6730,Prairie Warbler,Passeriformes,Parulidae,Setophaga discolor,yes,Prairie Warbler,Setophaga discolor,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga discolor,Prairie Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga dominica,Yellow-throated Warbler,Yellow-throated Warbler,Setophaga dominica,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; USak; XX,yes,6630,Yellow-throated Warbler,Passeriformes,Parulidae,Setophaga dominica,yes,Yellow-throated Warbler,Setophaga dominica,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga dominica,Yellow-throated Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga fusca,Blackburnian Warbler,Blackburnian Warbler,Setophaga fusca,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,6620,Blackburnian Warbler,Passeriformes,Parulidae,Setophaga fusca,yes,Blackburnian Warbler,Setophaga fusca,eastern North America; winters Costa Rica to Bolivia,Parulidae (New World Warblers),Passeriformes,yes,Setophaga fusca,Blackburnian Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga graciae,Grace's Warbler,Grace's Warbler,Setophaga graciae,NA,PASSERIFORMES,Parulidae,CA; CAM; hol; NAM; nea; US48,yes,6640,Grace's Warbler,Passeriformes,Parulidae,Setophaga graciae,yes,Grace's Warbler,Setophaga graciae,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga graciae,Grace's Warbler,CONUS & Canada,Passeriformes,Parulidae,9/19/2023,yes
Setophaga kirtlandii,Kirtland's Warbler,Kirtland's Warbler,Setophaga kirtlandii,Near-threatened,PASSERIFORMES,Parulidae,CA; CAR; hol; NAM; nea; US48,yes,6700,Kirtland's Warbler,Passeriformes,Parulidae,Setophaga kirtlandii,yes,Kirtland's Warbler,Setophaga kirtlandii,jack-pine area of Michigan; winters in Bahamas,Parulidae (New World Warblers),Passeriformes,yes,Setophaga kirtlandii,Kirtland's Warbler,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes
Setophaga magnolia,Magnolia Warbler,Magnolia Warbler,Setophaga magnolia,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,6570,Magnolia Warbler,Passeriformes,Parulidae,Setophaga magnolia,yes,Magnolia Warbler,Setophaga magnolia,eastern North America; winters to Panama and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Setophaga magnolia,Magnolia Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga nigrescens,Black-throated Gray Warbler,Black-throated Gray Warbler,Setophaga nigrescens,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,6650,Black-throated Gray Warbler,Passeriformes,Parulidae,Setophaga nigrescens,yes,Black-throated Gray Warbler,Setophaga nigrescens,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga nigrescens,Black-throated Gray Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga occidentalis,Hermit Warbler,Hermit Warbler,Setophaga occidentalis,Breeding endemic,PASSERIFORMES,Parulidae,CA; CAM; hol; NAM; nea; US48,yes,6690,Hermit Warbler,Passeriformes,Parulidae,Setophaga occidentalis,yes,Hermit Warbler,Setophaga occidentalis,mountains of western USA; winters to Nicaragua,Parulidae (New World Warblers),Passeriformes,yes,Setophaga occidentalis,Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,9/22/2023,yes
Setophaga palmarum,Palm Warbler,Palm Warbler,Setophaga palmarum,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; XX,yes,6720,Palm Warbler,Passeriformes,Parulidae,Setophaga palmarum,yes,Palm Warbler,Setophaga palmarum,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga palmarum,Palm Warbler,CONUS & Canada,Passeriformes,Parulidae,11/4/2022,yes
Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,Setophaga pensylvanica,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,6590,Chestnut-sided Warbler,Passeriformes,Parulidae,Setophaga pensylvanica,yes,Chestnut-sided Warbler,Setophaga pensylvanica,eastern North America; winters Guatemala to Panama (casual northern South America),Parulidae (New World Warblers),Passeriformes,yes,Setophaga pensylvanica,Chestnut-sided Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga petechia,Yellow Warbler,Yellow Warbler,Setophaga petechia,NA,PASSERIFORMES,Parulidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,6520,Yellow Warbler,Passeriformes,Parulidae,Setophaga petechia,yes,Yellow Warbler,Setophaga petechia,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga petechia,Yellow Warbler,CONUS & Canada,Passeriformes,Parulidae,3/28/2019; checked 9/13/2022,yes
Setophaga pinus,Pine Warbler,Pine Warbler,Setophaga pinus,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48,yes,6710,Pine Warbler,Passeriformes,Parulidae,Setophaga pinus,yes,Pine Warbler,Setophaga pinus,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga pinus,Pine Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga pitiayumi,Tropical Parula,Tropical Parula,Setophaga pitiayumi,NA,PASSERIFORMES,Parulidae,CAM; hol; NAM; nea; SAM; TT; US48,yes,6490,Tropical Parula,Passeriformes,Parulidae,Setophaga pitiayumi,yes,Tropical Parula,Setophaga pitiayumi,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga pitiayumi,Tropical Parula,CONUS & Canada,Passeriformes,Parulidae,3/20/2023 - 3/21/2023,yes
Setophaga ruticilla,American Redstart,American Redstart,Setophaga ruticilla,NA,PASSERIFORMES,Parulidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6870,American Redstart,Passeriformes,Parulidae,Setophaga ruticilla,yes,American Redstart,Setophaga ruticilla,Alaska to southern USA; winters southern USA to northern South America and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Setophaga ruticilla,American Redstart,CONUS & Canada,Passeriformes,Parulidae,3/19/2019-11/23/2021,yes
Setophaga striata,Blackpoll Warbler,Blackpoll Warbler,Setophaga striata,Near-threatened,PASSERIFORMES,Parulidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,6610,Blackpoll Warbler,Passeriformes,Parulidae,Setophaga striata,yes,Blackpoll Warbler,Setophaga striata,Alaska and Canada; winters Colombia to Peru and western Amazonian Brazil,Parulidae (New World Warblers),Passeriformes,yes,Setophaga striata,Blackpoll Warbler,CONUS & Canada,Passeriformes,Parulidae,3/21/2023,yes
Setophaga tigrina,Cape May Warbler,Cape May Warbler,Setophaga tigrina,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX,yes,6500,Cape May Warbler,Passeriformes,Parulidae,Setophaga tigrina,yes,Cape May Warbler,Setophaga tigrina,Canada and northeastern USA; winters mainly West Indies,Parulidae (New World Warblers),Passeriformes,yes,Setophaga tigrina,Cape May Warbler,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes
Setophaga townsendi,Townsend's Warbler,Townsend's Warbler,Setophaga townsendi,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48; USak,yes,6680,Townsend's Warbler,Passeriformes,Parulidae,Setophaga townsendi,yes,Townsend's Warbler,Setophaga townsendi,coniferous forest of western North America; winters to Costa Rica,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi,Townsend's Warbler,CONUS & Canada,Passeriformes,Parulidae,3/23/2023,yes
Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler (hybrid); hybrid Townsend's Warbler x Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6686,hybrid Townsend's Warbler x Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi x occidentalis,yes,Townsend's x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi x occidentalis,hybrid Townsend's Warbler x Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; hybrid species,yes
Setophaga townsendi/occidentalis,Townsend's/Hermit Warbler; unid. Townsend's Warbler/Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6685,unid. Townsend's Warbler / Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi / occidentalis,yes,Townsend's/Hermit Warbler,Setophaga townsendi/occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi / occidentalis,unid. Townsend's Warbler / Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; unidentified species,yes
Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,Setophaga virens,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,6670,Black-throated Green Warbler,Passeriformes,Parulidae,Setophaga virens,yes,Black-throated Green Warbler,Setophaga virens,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga virens,Black-throated Green Warbler,CONUS & Canada,Passeriformes,Parulidae,9/20/2022-9/21/2022,yes
Sialia currucoides,Mountain Bluebird,Mountain Bluebird,Sialia currucoides,NA,PASSERIFORMES,Turdidae,CA; CAM; hol; NAM; nea; US48; USak,yes,7680,Mountain Bluebird,Passeriformes,Turdidae,Sialia currucoides,yes,Mountain Bluebird,Sialia currucoides,western North America (Alaska to central Mexico); winters to Baja California,Turdidae (Thrushes and Allies),Passeriformes,yes,Sialia currucoides,Mountain Bluebird,CONUS & Canada,Passeriformes,Turdidae,8/29/2022,yes
Sialia mexicana,Western Bluebird,Western Bluebird,Sialia mexicana,NA,PASSERIFORMES,Turdidae,CA; CAM; hol; NAM; nea; US48,yes,7670,Western Bluebird,Passeriformes,Turdidae,Sialia mexicana,yes,Western Bluebird,Sialia mexicana,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Sialia mexicana,Western Bluebird,CONUS & Canada,Passeriformes,Turdidae,8/29/2022,yes
Sialia sialis,Eastern Bluebird,Eastern Bluebird,Sialia sialis,NA,PASSERIFORMES,Turdidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,7660,Eastern Bluebird,Passeriformes,Turdidae,Sialia sialis,yes,Eastern Bluebird,Sialia sialis,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Sialia sialis,Eastern Bluebird,CONUS & Canada,Passeriformes,Turdidae,8/29/2022,yes
Sibirionetta formosa,Baikal Teal,Baikal Teal,Sibirionetta formosa,Rare/Accidental,ANSERIFORMES,Anatidae,ASI; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Baikal Teal,Sibirionetta formosa,"breeds in northern and eastern Siberia; winters Japan, Korea, and eastern China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Sibirionetta formosa,Baikal Teal,Asia,Anseriformes,Anatidae,3/22/2024,yes
Sitta canadensis,Red-breasted Nuthatch,Red-breasted Nuthatch,Sitta canadensis,NA,PASSERIFORMES,Sittidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,7280,Red-breasted Nuthatch,Passeriformes,Sittidae,Sitta canadensis,yes,Red-breasted Nuthatch,Sitta canadensis,coniferous forest of North America,Sittidae (Nuthatches),Passeriformes,yes,Sitta canadensis,Red-breasted Nuthatch,CONUS & Canada,Passeriformes,Sittidae,8/12/2022,yes
Sitta carolinensis,White-breasted Nuthatch,White-breasted Nuthatch,Sitta carolinensis,NA,PASSERIFORMES,Sittidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,7270,White-breasted Nuthatch,Passeriformes,Sittidae,Sitta carolinensis,yes,White-breasted Nuthatch,Sitta carolinensis,NA,Sittidae (Nuthatches),Passeriformes,yes,Sitta carolinensis,White-breasted Nuthatch,CONUS & Canada,Passeriformes,Sittidae,4/16/2019; checked 8/18/2022,yes
Sitta pusilla,Brown-headed Nuthatch,Brown-headed Nuthatch,Sitta pusilla,NA,PASSERIFORMES,Sittidae,hol; NAM; nea; US48,yes,7290,Brown-headed Nuthatch,Passeriformes,Sittidae,Sitta pusilla,yes,Brown-headed Nuthatch,Sitta pusilla,pine forest of southeastern USA,Sittidae (Nuthatches),Passeriformes,yes,Sitta pusilla,Brown-headed Nuthatch,CONUS & Canada,Passeriformes,Sittidae,8/22/2022,yes
Sitta pygmaea,Pygmy Nuthatch,Pygmy Nuthatch,Sitta pygmaea,NA,PASSERIFORMES,Sittidae,CA; CAM; hol; NAM; nea; US48,yes,7300,Pygmy Nuthatch,Passeriformes,Sittidae,Sitta pygmaea,yes,Pygmy Nuthatch,Sitta pygmaea,NA,Sittidae (Nuthatches),Passeriformes,yes,Sitta pygmaea,Pygmy Nuthatch,CONUS & Canada,Passeriformes,Sittidae,8/19/2022-8/22/2022,yes
Somateria fischeri,Spectacled Eider,Spectacled Eider,Somateria fischeri,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,ASI; CA; EUR; hol; NAM; nea; pal; USak,yes,1580,Spectacled Eider,Anseriformes,Anatidae,Somateria fischeri,yes,Spectacled Eider,Somateria fischeri,"breeds north-central and northeastern Siberia from Lena Delta to Chukotka, and western and northern Alaska in Yukon Delta and Arctic Coastal Plain; winters polynyas (ice-free seas) between St. Lawrence and St. Matthew islands (northern Bering Sea)","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Somateria fischeri,Spectacled Eider,CONUS & Canada,Anseriformes,Anatidae,9/15/2023-9/21/2023,yes
Somateria mollissima,Common Eider,Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; oat; pal; US48; USak; XX,yes,1590,Common Eider,Anseriformes,Anatidae,Somateria mollissima,yes,Common Eider,Somateria mollissima,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Somateria mollissima,Common Eider,CONUS & Canada,Anseriformes,Anatidae,1/6/2023,yes
Somateria spectabilis,King Eider,King Eider,Somateria spectabilis,NA,ANSERIFORMES,Anatidae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,1620,King Eider,Anseriformes,Anatidae,Somateria spectabilis,yes,King Eider,Somateria spectabilis,"breeds coastal northern and central Greenland, Svalbard (north of Norway), Russia from east of the White Sea to Chukotka (northeastern Russia); Arctic Coastal Plain of Alaska, northern slope of Canada and associated arctic islands; winters to Kamchatka (southeastern Russia) and Aleutian Islands, Newfoundland (southeastern Canada), southern Greenland, Iceland, and northern Norway","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Somateria spectabilis,King Eider,CONUS & Canada,Anseriformes,Anatidae,9/15/2023-9/18/2023,yes
Spatula clypeata,Northern Shoveler,Northern Shoveler,Spatula clypeata,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1420,Northern Shoveler,Anseriformes,Anatidae,Spatula clypeata,yes,Northern Shoveler,Spatula clypeata,"breeds Holarctic (except Arctic); winters through eastern Africa, southern Asia, and Central America","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Spatula clypeata,Northern Shoveler,CONUS & Canada,Anseriformes,Anatidae,9/11/2023-9/12/2023,yes
Spatula cyanoptera,Cinnamon Teal,Cinnamon Teal,Spatula cyanoptera,NA,ANSERIFORMES,Anatidae,AFR; CA; CAM; CAR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1410,Cinnamon Teal,Anseriformes,Anatidae,Spatula cyanoptera,yes,Cinnamon Teal,Spatula cyanoptera,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Spatula cyanoptera,Cinnamon Teal,CONUS & Canada,Anseriformes,Anatidae,11/23/2022,yes
Spatula discors,Blue-winged Teal,Blue-winged Teal,Spatula discors,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1400,Blue-winged Teal,Anseriformes,Anatidae,Spatula discors,yes,Blue-winged Teal,Spatula discors,"breeds North America (except Arctic and western Alaska), mostly in central prairie regions; winters northern Mexico to Caribbean and coastal northern South America","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Spatula discors,Blue-winged Teal,CONUS & Canada,Anseriformes,Anatidae,11/23/2022,yes
Spatula querquedula,Garganey,Garganey,Spatula querquedula,Rare/Accidental,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Garganey,Spatula querquedula,breeds Palearctic (except north); winters to central Africa through Indonesia,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Spatula querquedula,Garganey,Asia & Europe & Africa,Anseriformes,Anatidae,3/22/2024,yes
Sphyrapicus nuchalis,Red-naped Sapsucker,Red-naped Sapsucker,Sphyrapicus nuchalis,NA,PICIFORMES,Picidae,CA; CAM; hol; NAM; nea; US48,yes,4021,Red-naped Sapsucker,Piciformes,Picidae,Sphyrapicus nuchalis,yes,Red-naped Sapsucker,Sphyrapicus nuchalis,southwestern Canada to southwestern USA; winters to northern Mexico and southern Baja California,Picidae (Woodpeckers),Piciformes,yes,Sphyrapicus nuchalis,Red-naped Sapsucker,CONUS & Canada,Piciformes,Picidae,3/17/2022; 4/13/2023-4/20/2023,yes
